Crypto Name,Price,Timestamp
Bitcoin,"66,954.61",15:43.0
Bitcoin,"66,954.61",16:03.7
Bitcoin,"66,954.61",16:24.3
Bitcoin,"66,954.61",16:45.0
Bitcoin,"66,954.61",17:05.7
Bitcoin,"66,954.61",17:26.4
Bitcoin,"66,884.21",17:47.1
Bitcoin,"66,884.21",18:07.8
Bitcoin,"66,884.21",18:28.5
Bitcoin,"66,884.21",18:49.3
Bitcoin,"66,884.21",19:10.1
Bitcoin,"66,833.77",19:30.8
Bitcoin,"66,833.77",19:51.6
Bitcoin,"66,833.77",20:12.3
Bitcoin,"66,833.77",20:33.1
Bitcoin,"66,833.77",20:53.8
Bitcoin,"66,833.77",21:14.5
Bitcoin,"66,833.77",21:35.2
Bitcoin,"66,833.77",21:55.8
Bitcoin,"66,833.77",22:16.5
Bitcoin,"66,833.77",22:37.2
Bitcoin,"66,833.77",22:57.9
Bitcoin,"66,833.77",23:18.6
Bitcoin,"66,833.77",23:39.4
Bitcoin,"66,807.64",24:00.0
Bitcoin,"66,807.64",24:20.7
Bitcoin,"66,807.64",24:41.4
Bitcoin,"66,807.64",25:02.1
